en,zh,note_zh,user
discontented,adj.不满意的动词discontent的过去式和过去分词,"<i>1</i>. He was <em><em>discontented</em></em> with his salary.<br>他对自己的薪水感到不满。<br><i>2</i>. You're a <em><em>discontented</em></em> mother and a regimented wife.<br>妳是个不满现实的母亲，一个失去自由的妻子。<br><i>3</i>. She has a <em><em>discontented</em></em> look, as if she never enjoys life.<br>她一脸不满的神情,似乎她从未享受过生活的乐趣。<br>",俊棋
holocaust,n.大屠杀；浩劫；燔祭,"<i>1</i>. Suddenly there is a nuclear <em><em>holocaust</em></em>.<br>突然之间产生了一个核弹大屠杀。<br><i>2</i>. He was a descendent of Holocaust survivors.<br>他是大屠杀幸存者的后代。<br><i>3</i>. He predicted that there would be a world <em><em>holocaust</em></em>.<br>他预言将有一场世界性的浩劫。<br><i>4</i>. I know this sounds like preparations for a nuclear <em><em>holocaust</em></em>, but the effects could be horrifyingly similar.<br>我知道这听起来一定像是为核浩劫提前准备，但其结果其实都挺恐怖的。<br>",zhiyu
persecute,vt.迫害；烦扰；为难,"<i>1</i>. They <em><em>persecute</em></em> those who do not conform to their idea.<br>他们迫害那些不信奉他们思想的人。<br><i>2</i>. They came to America after being <em><em>persecute</em></em>d for their religious beliefs.<br>他们是在他们因宗教信仰而受到迫害之后来到美洲的。<br><i>3</i>. Once the affair became public, he was <em><em>persecute</em></em>d by the press.<br>事情公开後，他便受到新闻界的纠缠。<br><i>4</i>. He <em><em>persecute</em></em>d me with various delicate questions.<br>他用种种微妙的问题把我难倒了。<br>",zhiyu
incredibly,adv.极其；难以置信地,<i>1</i>. This movie is <em><em>incredibly</em></em> thrilling.<br>这部电影真是无比惊悚。<br><i>2</i>. I find these chairs <em><em>incredibly</em></em> uncomfortable.<br>我觉得这些椅子非常不舒服。<br><i>3</i>. Man can be <em><em>incredibly</em></em> intelligent at the point of danger.<br>人类在危险时就会异常机智。<br><i>4</i>. She looked <em><em>incredibly</em></em> sexy in a black evening gown.<br>她穿着黑色的晚礼服，显得性感极了。<br>,zhiyu
deemed,v.认为；视作,<i>1</i>. They were <em><em>deemed</em></em> to be illegal immigrants.<br>他们被认为是不法移民。<br><i>2</i>. They <em><em>deemed</em></em> that he was no longer capable of managing the business.<br>他们认为他没有能力再继续管理这个公司了。<br><i>3</i>. These buildings are <em><em>deemed</em></em> to be of architectural importance and must be protected.<br>这些楼房被视为具有建筑的重要性<br>,zhiyu
deteriorated,v.恶化；变质；衰退,<i>1</i>. We cannot allow the situation to deteriorate.<br>我们不容许情况恶化。<br><i>2</i>. Relation between the two countries have <em><em>deteriorated</em></em> sharply in recent week.<br>最近几周那两个国家间的关系严重恶化了。<br><i>3</i>. Food is apt to deteriorate in summer.<br>食物在夏天容易变质。<br><i>4</i>. The discussion <em><em>deteriorated</em></em> into a bitter quarrel.<br>这场讨论演变成了激烈的争吵。<br>,zhiyu
sickle,n.镰刀,<i>1</i>. There is a picture of the <em><em>sickle</em></em> on the flag.<br>旗帜上有镰刀的图案。<br><i>2</i>. He swished the tops off weeds with a <em><em>sickle</em></em>.<br>他挥动镰刀嗖嗖地割掉了杂草的草尖。<br>,zhiyu
dictatorship,n.专政；独裁（权）,<i>1</i>. The <em><em>dictatorship</em></em> of the proletariat is one of the aims of Communism.<br>无产阶级专政是共产主义的目标之一。<br><i>2</i>. The fall of the fascist <em><em>dictatorship</em></em> was followed by a left-wing backlash.<br>法西斯专政的垮台引起左翼运动的高涨。<br><i>3</i>. A <em><em>dictatorship</em></em> contravenes the liberty of individuals.<br>独裁政治与个人自由相抵触。<br><i>4</i>. The country was then living under a military <em><em>dictatorship</em></em>.<br>那个国家当时正处在军事独裁统治之下。<br>,zhiyu
kidnap,v. 綁架,"v.绑架<br><br><i>1</i>. Police have uncovered a plot to <em><em>kidnap</em></em> the President's son.<br>警方已侦破一起绑架总统之子的阴谋。<br><i>2</i>. If you improve security at embassies, they <em><em>kidnap</em></em> businessmen.<br>如果你加强了大使馆的安全防范，他们就绑架商人。<br>",yuhui
stomach,n. 肚子,"n.胃；胃口；腹部<br>vt.忍受；吃得下<br><br><i>1</i>. He had had too much to eat and his <em><em>stomach</em></em> started to kick up.<br>他吃得太多了,胃不舒服。<br><i>2</i>. Anxiety may disorder the <em><em>stomach</em></em>.<br>忧虑可能会引起胃部不适。<br><i>3</i>. The <em><em>stomach</em></em> revolts at such food.<br>这样的食物倒胃囗。<br><i>4</i>. The film about eye operations turned my <em><em>stomach</em></em>.<br>这部眼科手术的影片看得我恶心极了。<br><i>5</i>. I can't <em><em>stomach</em></em> your constant nagging.<br>我再也忍受不了你不停的唠叨了。<br>",yuhui
rub,擦,"v.擦；摩擦；搓；惹恼<br>n.困难；障碍；擦<br><br><i>1</i>. I <em><em>rub</em></em>bed the window with a cloth.<br>我用一块布擦窗子。<br><i>2</i>. We may have to <em><em>rub</em></em> polish on the floor.<br>我们可能得在地板上涂上光剂了。<br><i>3</i>. He asked me to <em><em>rub</em></em> up the silver.<br>他让我把银器擦一擦。<br><i>4</i>. The wheel's <em><em>rub</em></em>bing on the mudguard.<br>车轮蹭著了挡泥板。<br><i>5</i>. We need money badly, but there's the <em><em>rub</em></em>: no one will lend us any.<br>我们急需要钱,但困难的是:谁也不会借钱给我们。<br>",yuhui
explore,v. 探索,v.探测；探险；考察；探究<br><br><i>1</i>. The experts are exploring every part of the island.<br>专家们正在勘查这个岛的各个部分。<br><i>2</i>. He had an itch to get away and <em><em>explore</em></em>.<br>他等不及要动身去探险。<br><i>3</i>. Can you <em><em>explore</em></em> the market possibility for us?<br>您能为我们考察一下市场前景吗？<br><i>4</i>. Columbus discovered America but did not <em><em>explore</em></em> the new continent.<br>哥伦布发现了美洲<br>,yuhui
tent,n. 帳篷,"n.帐篷<br>v.住帐篷；宿营<br><br><i>1</i>. They set up a <em><em>tent</em></em> near the seashore.<br>他们在海滨附近搭起了一个帐篷。<br><i>2</i>. The wind caused the <em><em>tent</em></em> to collapse.<br>风把帐篷吹塌了。<br><i>3</i>. Please slacken the <em><em>tent</em></em> rope before it rains.<br>下雨前，请将帐篷的绳索放松。<br><i>4</i>. The <em><em>tent</em></em> flaps should be tightly fastened.<br>帐篷的帘布应紧紧系住。<br><i>5</i>. Last night, we <em><em>tent</em></em>ed in the forest.<br>昨夜我们在森林里住帐篷。<br>",yuhui
frightening,害怕,"adj.令人恐惧的；令人害怕的<br>动词frighten的现在分词.<br><br><i>1</i>. I can't forget that <em><em>frightening</em></em> experience.<br>我无法忘记那段令人恐惧的经历。<br><i>2</i>. It's really a <em><em>frightening</em></em> experience.<br>这真是一场令人恐惧的经历。<br><i>3</i>. He spoke in a <em><em>frightening</em></em> manner.<br>他说话的样子令人害怕。<br><i>4</i>. From time to time his sharp cough broke the rather <em><em>frightening</em></em> stillness.<br>他偶尔发出一两声短促的咳嗽，打破这多少有点叫人害怕的静寂。<br>",yuhui
jokes,n. 笑話,"n.笑话；玩笑<br>v.说笑话；开玩笑<br><br><i>1</i>. He closed his speech with a funny joke.<br>他用一则有趣的笑话结束了演讲。<br><i>2</i>. I'm sorry but I can't see the joke.<br>很抱歉,我看不出来有什么可笑的。<br><i>3</i>. It is no joke.<br>这可不是开玩笑的事。<br><i>4</i>. He can't take a joke.<br>他开不得玩笑。<br><i>5</i>. He's someone I have an occasional chat and joke with.<br>我偶然跟他闲聊，一起说笑话。<br>",yuhui
insecticide,殺虫劑,n.杀虫剂<br><br><i>1</i>. The gardener sprayed <em><em>insecticide</em></em> on the flowers.<br>那园丁给花喷洒了杀虫剂。<br><i>2</i>. The pad is impregnated with <em><em>insecticide</em></em>.<br>垫子上满是杀虫剂。<br>,yuhui
stretch,伸展,"v.伸展；延伸；张开；夸大<br>n.伸展；张开；弹性；一段时间；<俚>刑期<br>adj.可伸缩的<br><br><i>1</i>. Vast meadows <em><em>stretch</em></em> to the east.<br>辽阔的草场向东伸展。<br><i>2</i>. She <em><em>stretch</em></em>ed across the table for the butter.<br>她探身去取放在餐桌对面的黄油。<br><i>3</i>. The landscape seemed to <em><em>stretch</em></em> into infinity.<br>风景似乎延伸到了无穷远处。<br><i>4</i>. Feeling intense fellowship with all human beings, she wished to throw herself into their arms, thinking that they would <em><em>stretch</em></em> them out to receive her.<br>她对所有的人怀着亲如手足的感情，她希望投身于他们的怀抱，以为他们会张开双臂接纳她。<br><i>5</i>. I got out of the bed and had a good <em><em>stretch</em></em>.<br>我起床后舒服地伸了个懒腰。<br>",yuhui
disappear,不見,vi.消失；不见；失踪<br><br><i>1</i>. The sun <em><em>disappear</em></em>ed behind a cloud.<br>太阳消失在一片云后面。<br><i>2</i>. Many beautiful fish are fast <em><em>disappear</em></em>ing because of the severe pollution.<br>因为污染严重，许多美丽的鱼类正在面临绝种。<br><i>3</i>. My wallet has <em><em>disappear</em></em>ed from the table.<br>我放在桌子上的钱包不见了。<br><i>4</i>. I saw her step  the street and <em><em>disappear</em></em> into the post-office.<br>我看见她在街上步行，进了邮局就不见了。<br>,yuhui
creep,v. 爬,"vi.蹑手蹑脚地走；爬；渐渐出现；蔓延；毛骨悚然<br>n.卑鄙小人；爬；徐行；蠕动<br><br><i>1</i>. We take off our shoes and <em><em>creep</em></em> cautiously along the passage.<br>我们脱掉了鞋，在走廊中蹑手蹑脚地往前走。<br><i>2</i>. The spider learns to <em><em>creep</em></em> on the wall.<br>蜘蛛学爬壁。<br><i>3</i>. As the doctors became more tired, errors began to <em><em>creep</em></em> into their work.<br>由于越来越疲劳，医生的工作开始出现差错。<br><i>4</i>. Old age <em><em>creep</em></em>s up on you before you realize it.<br>人不知不觉就变老了。<br><i>5</i>. You slimy little <em><em>creep</em></em>!<br>你这个卑鄙无耻的奴才！<br>",yuhui
